epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5048,2.63181,2.89188,2.16537,0.01506,0.23983,0.01741,0.0053,2.60987,3.44038,2.17914,0.00066487,0.00066487,0.00066487
2,149.226,2.4986,2.75907,2.07972,0.01548,0.26704,0.02522,0.00782,2.67979,3.0242,2.11374,0.00132495,0.00132495,0.00132495
3,221.783,2.48564,2.75265,2.07312,0.01009,0.17402,0.0081,0.00292,2.86589,3.37156,2.48804,0.00197842,0.00197842,0.00197842
4,297.296,2.47721,2.76765,2.06225,0.01599,0.27581,0.02269,0.00724,2.50386,3.66435,2.04079,0.0019703,0.0019703,0.0019703
5,372.367,2.42016,2.72757,2.0491,0.0265,0.21723,0.02273,0.007,2.54611,3.42469,2.04922,0.0019604,0.0019604,0.0019604
6,448.612,2.40059,2.72069,2.01315,0.01461,0.25203,0.01788,0.00468,2.47064,3.09635,2.20202,0.0019505,0.0019505,0.0019505
7,525.577,2.38155,2.69279,2.02084,0.01885,0.32499,0.03306,0.00954,2.43026,2.9201,2.14978,0.0019406,0.0019406,0.0019406
8,606.727,2.36561,2.67709,2.0103,0.03219,0.19761,0.02794,0.00855,2.55918,3.15222,2.11553,0.0019307,0.0019307,0.0019307
9,684.065,2.38067,2.66185,2.00757,0.01726,0.29778,0.03209,0.00954,2.5694,2.98632,2.00537,0.0019208,0.0019208,0.0019208
10,759.093,2.34001,2.65696,1.98838,0.01767,0.29967,0.02917,0.00901,2.43985,2.96428,2.17235,0.0019109,0.0019109,0.0019109
11,833.962,2.33729,2.66414,1.98104,0.01637,0.28232,0.02452,0.00722,2.55576,2.9553,2.35916,0.001901,0.001901,0.001901
12,909.032,2.34107,2.63828,1.98823,0.029,0.2975,0.03318,0.00999,2.4728,3.06452,2.19295,0.0018911,0.0018911,0.0018911
13,987.725,2.31723,2.645,1.99374,0.02283,0.27066,0.03213,0.00982,2.56489,2.99751,2.04795,0.0018812,0.0018812,0.0018812
14,1061.9,2.32798,2.65288,1.97851,0.0768,0.13533,0.03865,0.01099,2.41541,2.88864,2.08579,0.0018713,0.0018713,0.0018713
15,1135.73,2.29291,2.60843,1.95969,0.02382,0.3249,0.03537,0.01163,2.41385,2.84343,2.06867,0.0018614,0.0018614,0.0018614
16,1217.62,2.31503,2.62129,1.96882,0.04814,0.24607,0.03636,0.01091,2.43629,2.94118,2.18712,0.0018515,0.0018515,0.0018515
17,1297.09,2.30119,2.59902,1.95013,0.02004,0.34487,0.04193,0.01236,2.43156,2.8443,2.19645,0.0018416,0.0018416,0.0018416
18,1375.64,2.28733,2.60969,1.95341,0.02564,0.2806,0.03344,0.01032,2.51734,3.24758,2.01651,0.0018317,0.0018317,0.0018317
19,1453.62,2.26307,2.58688,1.95157,0.10648,0.08235,0.04027,0.01192,2.35372,2.82616,2.14044,0.0018218,0.0018218,0.0018218
20,1531.97,2.28088,2.58936,1.96141,0.01988,0.34044,0.03951,0.01203,2.38938,2.8444,2.03267,0.0018119,0.0018119,0.0018119
21,1611.03,2.26323,2.56976,1.95389,0.07412,0.21958,0.04896,0.01526,2.33956,2.83609,2.06579,0.001802,0.001802,0.001802
22,1689.91,2.26413,2.56887,1.95131,0.04254,0.28584,0.04687,0.01337,2.43744,2.79577,2.20831,0.0017921,0.0017921,0.0017921
23,1768.11,2.24524,2.59367,1.95619,0.086,0.17451,0.05157,0.01567,2.39168,2.8527,1.95501,0.0017822,0.0017822,0.0017822
24,1847.3,2.24753,2.60016,1.94425,0.12836,0.1102,0.05199,0.01573,2.35276,2.86078,2.0619,0.0017723,0.0017723,0.0017723
25,1928.49,2.2645,2.54928,1.9442,0.03081,0.30691,0.04066,0.0128,2.44944,2.81718,2.20699,0.0017624,0.0017624,0.0017624
26,2009.83,2.23752,2.54901,1.92931,0.01998,0.34424,0.04767,0.01566,2.38498,3.01449,1.99791,0.0017525,0.0017525,0.0017525
27,2091.5,2.22322,2.56745,1.93945,0.06189,0.28141,0.0608,0.0182,2.32966,2.87698,1.99659,0.0017426,0.0017426,0.0017426
28,2173.82,2.24346,2.52678,1.93628,0.06283,0.22726,0.04863,0.01466,2.34342,2.79443,2.04132,0.0017327,0.0017327,0.0017327
29,2256.15,2.22638,2.56351,1.95276,0.20716,0.0706,0.06296,0.01678,2.39793,2.90923,2.07362,0.0017228,0.0017228,0.0017228
30,2339.88,2.21656,2.53536,1.91804,0.03379,0.32535,0.04442,0.0145,2.30157,2.81663,1.98669,0.0017129,0.0017129,0.0017129
31,2422.66,2.22218,2.54326,1.92813,0.11308,0.13949,0.05596,0.01816,2.31466,2.81682,1.98876,0.001703,0.001703,0.001703
32,2503.37,2.22487,2.54254,1.93246,0.06234,0.23974,0.05374,0.01604,2.39128,2.82439,2.04333,0.0016931,0.0016931,0.0016931
33,2582.54,2.20033,2.52374,1.91231,0.04286,0.25628,0.03525,0.01174,2.35487,2.82406,1.98302,0.0016832,0.0016832,0.0016832
34,2661.43,2.19778,2.51037,1.91773,0.04763,0.27156,0.03941,0.01369,2.32603,2.84782,1.94763,0.0016733,0.0016733,0.0016733
35,2740.22,2.21689,2.52501,1.9267,0.09657,0.16561,0.0513,0.01717,2.34187,2.80393,1.95665,0.0016634,0.0016634,0.0016634
36,2819.88,2.20056,2.51239,1.90164,0.05924,0.27518,0.05448,0.01822,2.33894,2.81969,1.99597,0.0016535,0.0016535,0.0016535
37,2898.58,2.20564,2.53416,1.91333,0.04628,0.32065,0.05292,0.01641,2.30239,2.80558,2.01956,0.0016436,0.0016436,0.0016436
38,2982.21,2.20755,2.52773,1.92968,0.09274,0.1912,0.0603,0.01901,2.27912,2.75779,2.06814,0.0016337,0.0016337,0.0016337
39,3066.56,2.19196,2.53334,1.91847,0.04342,0.30166,0.04257,0.01442,2.27872,2.80245,2.01862,0.0016238,0.0016238,0.0016238
40,3146.07,2.1987,2.51818,1.92793,0.09962,0.18984,0.06169,0.01909,2.26352,2.76367,1.98479,0.0016139,0.0016139,0.0016139
41,3224.86,2.21349,2.51637,1.91314,0.08346,0.19436,0.05886,0.01978,2.27412,2.74624,1.98901,0.001604,0.001604,0.001604
42,3304.44,2.18432,2.51258,1.90239,0.10094,0.19662,0.06451,0.02037,2.29236,2.77819,2.04553,0.0015941,0.0015941,0.0015941
43,3385.31,2.18853,2.48626,1.89764,0.07815,0.19915,0.055,0.01827,2.2725,2.78364,1.99168,0.0015842,0.0015842,0.0015842
44,3465.64,2.17968,2.49183,1.90787,0.0191,0.32345,0.04249,0.01349,2.40183,2.98698,2.18284,0.0015743,0.0015743,0.0015743
45,3545.87,2.20479,2.50759,1.9076,0.07737,0.17113,0.04948,0.01616,2.46207,2.77259,1.94217,0.0015644,0.0015644,0.0015644
46,3626.17,2.18571,2.50194,1.90201,0.0433,0.33059,0.05914,0.01906,2.25147,2.78314,1.99908,0.0015545,0.0015545,0.0015545
47,3706.52,2.1737,2.50653,1.88948,0.08492,0.19201,0.05551,0.0177,2.31674,2.75725,2.1303,0.0015446,0.0015446,0.0015446
48,3788.47,2.19627,2.5066,1.90431,0.07271,0.21452,0.05661,0.01899,2.23838,2.76188,1.9786,0.0015347,0.0015347,0.0015347
49,3869.28,2.18989,2.48137,1.88852,0.06163,0.26704,0.05487,0.01728,2.30378,2.81648,2.00623,0.0015248,0.0015248,0.0015248
50,3949.41,2.1727,2.49277,1.88391,0.08609,0.15142,0.04917,0.01554,2.52237,2.95443,1.95145,0.0015149,0.0015149,0.0015149
51,4030.53,2.18557,2.50604,1.89538,0.08446,0.22871,0.06275,0.02104,2.22099,2.75015,1.95292,0.001505,0.001505,0.001505
52,4111.8,2.16693,2.50155,1.89507,0.1258,0.14943,0.06481,0.02128,2.26316,2.75897,1.97232,0.0014951,0.0014951,0.0014951
53,4193.12,2.16946,2.49394,1.89432,0.07439,0.193,0.05307,0.01796,2.29276,2.77671,1.96982,0.0014852,0.0014852,0.0014852
54,4274.38,2.17265,2.47708,1.88773,0.05644,0.26731,0.05219,0.01729,2.27434,2.7975,1.95666,0.0014753,0.0014753,0.0014753
55,4355.83,2.15292,2.48854,1.88985,0.05296,0.28874,0.05845,0.02055,2.2698,2.77896,1.93824,0.0014654,0.0014654,0.0014654
56,4438.13,2.1818,2.50819,1.9021,0.09071,0.21958,0.06596,0.02195,2.24696,2.79954,1.96511,0.0014555,0.0014555,0.0014555
57,4518.59,2.15337,2.48112,1.88667,0.08203,0.19101,0.05523,0.01906,2.24668,2.734,1.9801,0.0014456,0.0014456,0.0014456
58,4599.71,2.17069,2.48271,1.89718,0.07042,0.23875,0.05824,0.01918,2.23881,2.73261,1.98002,0.0014357,0.0014357,0.0014357
59,4681.59,2.16094,2.47153,1.883,0.04806,0.28367,0.05179,0.01886,2.28285,2.75008,1.93104,0.0014258,0.0014258,0.0014258
60,4762.67,2.15848,2.49658,1.88227,0.06781,0.24887,0.0599,0.02012,2.29205,2.73844,1.94023,0.0014159,0.0014159,0.0014159
61,4845.37,2.15562,2.46155,1.88352,0.11806,0.16932,0.06585,0.02157,2.26191,2.81952,1.94752,0.001406,0.001406,0.001406
62,4926.37,2.16246,2.48365,1.88533,0.10886,0.18351,0.06705,0.0219,2.22714,2.70056,1.95664,0.0013961,0.0013961,0.0013961
63,5007.65,2.15549,2.45682,1.88136,0.08652,0.20584,0.05883,0.01944,2.2776,2.79798,1.96977,0.0013862,0.0013862,0.0013862
64,5088.36,2.14751,2.46587,1.87726,0.06337,0.27852,0.06218,0.02053,2.25674,2.71399,2.03328,0.0013763,0.0013763,0.0013763
65,5169.87,2.15818,2.47822,1.88493,0.09706,0.21217,0.06756,0.02238,2.22557,2.69702,1.97525,0.0013664,0.0013664,0.0013664
66,5254.21,2.13992,2.46866,1.88268,0.08,0.23115,0.06252,0.021,2.25127,2.77202,1.97886,0.0013565,0.0013565,0.0013565
67,5337.4,2.12781,2.4514,1.87622,0.1044,0.16778,0.06132,0.0207,2.25734,2.71663,1.96833,0.0013466,0.0013466,0.0013466
68,5420.82,2.14692,2.47315,1.87773,0.12142,0.16588,0.0671,0.02215,2.23224,2.73676,1.96242,0.0013367,0.0013367,0.0013367
