epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.935,2.63296,3.84124,2.4084,0.00341,0.16174,0.00199,0.00058,4.09513,72.8968,9.31792,0.000658915,0.000658915,0.000658915
2,53.1145,2.45058,3.49387,2.28987,0.00506,0.18343,0.0037,0.00119,3.88328,4.01977,7.56899,0.00131902,0.00131902,0.00131902
3,69.4057,2.40548,3.45411,2.29554,0.00162,0.0355,0.00103,0.0003,3.96153,4.84573,3.99867,0.00197252,0.00197252,0.00197252
4,83.8205,2.34987,3.42168,2.26756,0.0049,0.42604,0.00745,0.00237,2.38239,4.00379,2.6265,0.0019703,0.0019703,0.0019703
5,98.6483,2.3336,3.45355,2.28111,0.00522,0.45365,0.00653,0.00163,2.43924,4.37424,2.47327,0.0019604,0.0019604,0.0019604
6,113.152,2.33156,3.45019,2.26121,0.00553,0.48126,0.00704,0.00231,2.36266,3.78775,2.36346,0.0019505,0.0019505,0.0019505
7,127.595,2.30743,3.43757,2.25364,0.00576,0.49901,0.01172,0.00331,2.23946,3.67543,2.33719,0.0019406,0.0019406,0.0019406
8,142.047,2.21679,3.41693,2.20484,0.00649,0.5641,0.03349,0.01113,2.36761,3.54374,2.35285,0.0019307,0.0019307,0.0019307
9,157.031,2.27123,3.4234,2.20127,0.00594,0.51677,0.00929,0.00228,2.42176,3.97616,2.37435,0.0019208,0.0019208,0.0019208
10,172.181,2.25702,3.39077,2.21061,0.00435,0.3787,0.00529,0.00143,2.71557,4.30565,2.56254,0.0019109,0.0019109,0.0019109
11,186.975,2.27806,3.39302,2.23666,0.21884,0.02761,0.0278,0.00722,2.34613,3.55502,2.53873,0.001901,0.001901,0.001901
12,201.68,2.18095,3.3812,2.18442,0.01116,0.36686,0.01827,0.00476,2.26947,3.59899,2.51824,0.0018911,0.0018911,0.0018911
13,216.551,2.20913,3.33601,2.21422,0.00676,0.58777,0.04021,0.01325,2.2299,3.65032,2.33473,0.0018812,0.0018812,0.0018812
14,231.295,2.18842,3.36725,2.17683,0.21251,0.08942,0.05545,0.01368,2.23666,3.45741,2.32387,0.0018713,0.0018713,0.0018713
15,246.282,2.18516,3.37191,2.17073,0.0071,0.61736,0.04374,0.0108,2.31985,3.75365,2.32262,0.0018614,0.0018614,0.0018614
16,261.145,2.23179,3.37571,2.18423,0.23962,0.05657,0.04722,0.01191,2.25642,3.46224,2.35015,0.0018515,0.0018515,0.0018515
17,276.279,2.20578,3.36726,2.15783,0.12876,0.06312,0.04057,0.01003,2.33167,3.92641,2.27899,0.0018416,0.0018416,0.0018416
18,291.082,2.20424,3.37176,2.17882,0.26237,0.05128,0.0399,0.01001,2.16001,3.44264,2.30641,0.0018317,0.0018317,0.0018317
19,306.09,2.16535,3.37969,2.1506,0.16887,0.07101,0.03325,0.00912,2.2525,3.43293,2.40897,0.0018218,0.0018218,0.0018218
