epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4194.98,1.98423,2.34789,2.10841,0.2346,0.22214,0.13309,0.03934,2.13221,2.67765,2.35451,0.007921,0.007921,0.007921
44,4292.59,1.99703,2.332,2.09807,0.23336,0.22242,0.13217,0.03895,2.1345,2.6769,2.35712,0.0078715,0.0078715,0.0078715
45,4388.88,1.98258,2.32164,2.09183,0.23282,0.22167,0.13196,0.03891,2.13519,2.67209,2.35823,0.007822,0.007822,0.007822
46,4485.79,2.0072,2.33044,2.088,0.23432,0.21552,0.13154,0.03893,2.13417,2.66999,2.35712,0.0077725,0.0077725,0.0077725
47,4582.74,1.98777,2.32915,2.09793,0.23268,0.21571,0.13174,0.03904,2.13466,2.66983,2.35744,0.007723,0.007723,0.007723
48,4678.85,1.99372,2.33005,2.07933,0.22996,0.2159,0.13146,0.03889,2.13356,2.66886,2.35642,0.0076735,0.0076735,0.0076735
49,4775.02,1.99283,2.3295,2.08265,0.23543,0.21278,0.13162,0.03893,2.13164,2.6678,2.35428,0.007624,0.007624,0.007624
50,4871.73,1.98865,2.32115,2.0787,0.22868,0.21779,0.13125,0.03892,2.13145,2.66716,2.35425,0.0075745,0.0075745,0.0075745
51,4968.86,1.98872,2.33871,2.09544,0.23652,0.20862,0.13133,0.03896,2.13061,2.66616,2.35488,0.007525,0.007525,0.007525
52,5065.77,1.97695,2.32951,2.08917,0.23698,0.20664,0.13168,0.03927,2.13093,2.66642,2.35619,0.0074755,0.0074755,0.0074755
53,5162.17,1.97085,2.30118,2.09229,0.23459,0.20654,0.13124,0.03912,2.12963,2.66588,2.35603,0.007426,0.007426,0.007426
54,5258.93,1.99567,2.3246,2.09068,0.23392,0.20635,0.13159,0.0391,2.12935,2.66558,2.35537,0.0073765,0.0073765,0.0073765
55,5355.2,1.97433,2.28746,2.07427,0.23221,0.20796,0.13201,0.03925,2.12846,2.66576,2.35475,0.007327,0.007327,0.007327
56,5452.38,1.97566,2.31268,2.08655,0.23471,0.20692,0.13235,0.03928,2.12663,2.66392,2.35288,0.0072775,0.0072775,0.0072775
57,5548.43,1.97163,2.32167,2.08228,0.2344,0.20487,0.1318,0.0392,2.12566,2.6635,2.35167,0.007228,0.007228,0.007228
58,5644.41,1.99119,2.31764,2.0767,0.23629,0.2038,0.13173,0.03909,2.12494,2.6633,2.35103,0.0071785,0.0071785,0.0071785
59,5740.88,1.96237,2.31058,2.07771,0.23557,0.20304,0.1317,0.03924,2.12591,2.66313,2.35165,0.007129,0.007129,0.007129
60,5836.84,1.98087,2.30307,2.07631,0.23728,0.2021,0.13173,0.0391,2.12875,2.66271,2.35467,0.0070795,0.0070795,0.0070795
61,5932.98,1.98327,2.32264,2.08484,0.24062,0.20087,0.1324,0.03923,2.13052,2.66219,2.35681,0.00703,0.00703,0.00703
62,6030.03,1.97735,2.28381,2.08188,0.23906,0.20002,0.13229,0.03914,2.1301,2.66099,2.35546,0.0069805,0.0069805,0.0069805
63,6126.89,1.96864,2.2998,2.07412,0.23734,0.19898,0.13203,0.03952,2.13092,2.6607,2.35617,0.006931,0.006931,0.006931
64,6222.63,1.96337,2.30499,2.08544,0.23654,0.1986,0.13184,0.03952,2.13106,2.65953,2.35655,0.0068815,0.0068815,0.0068815
65,6319.83,1.96901,2.30036,2.0851,0.23602,0.1991,0.1318,0.0396,2.13204,2.65914,2.35737,0.006832,0.006832,0.006832
66,6416.28,1.9739,2.28515,2.07768,0.24108,0.19246,0.1314,0.03946,2.13301,2.65901,2.35905,0.0067825,0.0067825,0.0067825
67,6512.33,1.97351,2.26772,2.06412,0.23907,0.19151,0.13099,0.03929,2.13479,2.6585,2.36058,0.006733,0.006733,0.006733
68,6608.64,1.97818,2.32076,2.08327,0.23239,0.19901,0.13066,0.03917,2.13567,2.65843,2.36159,0.0066835,0.0066835,0.0066835
69,6705.08,1.96796,2.27051,2.06303,0.23619,0.19529,0.13115,0.03922,2.13662,2.65784,2.36289,0.006634,0.006634,0.006634
70,6800.96,1.97277,2.30186,2.07022,0.23549,0.19529,0.13112,0.03932,2.13783,2.65619,2.36395,0.0065845,0.0065845,0.0065845
71,6898.3,1.96126,2.30201,2.07072,0.23622,0.19425,0.13161,0.03928,2.13885,2.65542,2.36495,0.006535,0.006535,0.006535
72,6994.94,1.95867,2.27346,2.06559,0.23625,0.19548,0.13144,0.03934,2.13882,2.65452,2.36566,0.0064855,0.0064855,0.0064855
73,7091,1.96399,2.28037,2.06577,0.22972,0.20059,0.13139,0.03931,2.13879,2.65372,2.36618,0.006436,0.006436,0.006436
74,7186.73,1.95873,2.29108,2.06069,0.23164,0.1986,0.13096,0.03928,2.13998,2.65235,2.36708,0.0063865,0.0063865,0.0063865
75,7282.66,1.95798,2.27879,2.06505,0.23045,0.20068,0.13077,0.03917,2.14104,2.65288,2.36913,0.006337,0.006337,0.006337
76,7379.82,1.96037,2.28387,2.06062,0.22801,0.19926,0.13008,0.0395,2.14158,2.65185,2.36915,0.0062875,0.0062875,0.0062875
77,7477.27,1.96189,2.28871,2.06947,0.22645,0.1991,0.12977,0.03946,2.14152,2.65129,2.36954,0.006238,0.006238,0.006238
78,7573.5,1.96864,2.28387,2.06538,0.23343,0.19189,0.12993,0.03944,2.14251,2.65135,2.37067,0.0061885,0.0061885,0.0061885
79,7670.67,1.95431,2.29879,2.06107,0.23282,0.19482,0.13041,0.03935,2.1425,2.65121,2.37119,0.006139,0.006139,0.006139
80,7767.81,1.955,2.27095,2.06328,0.23122,0.19558,0.13087,0.03947,2.14292,2.65023,2.37162,0.0060895,0.0060895,0.0060895
81,7864.96,1.95439,2.2498,2.04643,0.23102,0.19747,0.13087,0.03956,2.14276,2.64911,2.37079,0.00604,0.00604,0.00604
82,7961.28,1.96331,2.27607,2.06446,0.23081,0.19693,0.13092,0.03956,2.14354,2.64749,2.37106,0.0059905,0.0059905,0.0059905
83,8057.49,1.96356,2.2732,2.05479,0.23,0.19737,0.131,0.03956,2.14394,2.64635,2.37128,0.005941,0.005941,0.005941
84,8153.81,1.95718,2.28024,2.05691,0.22801,0.19873,0.13071,0.03959,2.14374,2.64556,2.37083,0.0058915,0.0058915,0.0058915
85,8249.65,1.95414,2.26494,2.05436,0.22594,0.20049,0.13063,0.03958,2.14348,2.64457,2.37047,0.005842,0.005842,0.005842
86,8346.07,1.96191,2.27034,2.061,0.22443,0.20295,0.13077,0.03964,2.14294,2.64331,2.36949,0.0057925,0.0057925,0.0057925
87,8442.07,1.94122,2.27846,2.06214,0.22291,0.20421,0.13045,0.03962,2.14307,2.6428,2.3701,0.005743,0.005743,0.005743
88,8537.15,1.95573,2.26643,2.05582,0.22257,0.20257,0.1301,0.03946,2.14382,2.64208,2.37105,0.0056935,0.0056935,0.0056935
89,8632.69,1.9453,2.2528,2.04954,0.22083,0.20276,0.13006,0.03953,2.14399,2.64184,2.37072,0.005644,0.005644,0.005644
90,8728.08,1.95184,2.28029,2.05791,0.22109,0.2021,0.12949,0.03945,2.14491,2.64155,2.3706,0.0055945,0.0055945,0.0055945
