epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4243.29,2.08228,2.46735,2.07049,0.18481,0.13587,0.08571,0.026,2.1995,2.75583,2.27133,0.007921,0.007921,0.007921
44,4340.88,2.09878,2.44069,2.05431,0.18574,0.13596,0.08618,0.02605,2.20062,2.75522,2.27361,0.0078715,0.0078715,0.0078715
45,4439.4,2.09474,2.46549,2.04643,0.19351,0.12656,0.08621,0.02612,2.20101,2.75144,2.27345,0.007822,0.007822,0.007822
46,4538.54,2.08587,2.447,2.03856,0.19407,0.12456,0.08687,0.02633,2.19877,2.74993,2.27003,0.0077725,0.0077725,0.0077725
47,4636.68,2.09626,2.44444,2.04955,0.19288,0.12529,0.08701,0.02647,2.19646,2.74925,2.26672,0.007723,0.007723,0.007723
48,4734.63,2.08125,2.43894,2.04427,0.18845,0.12921,0.08675,0.02646,2.19498,2.7489,2.2636,0.0076735,0.0076735,0.0076735
49,4832.92,2.09526,2.44762,2.0489,0.19058,0.12729,0.08679,0.02666,2.1919,2.74898,2.25992,0.007624,0.007624,0.007624
50,4931.52,2.08965,2.43821,2.0443,0.19013,0.12437,0.08642,0.02683,2.19264,2.74785,2.26078,0.0075745,0.0075745,0.0075745
51,5029.08,2.09325,2.45509,2.04108,0.18927,0.12446,0.08624,0.02707,2.19023,2.74818,2.257,0.007525,0.007525,0.007525
52,5126.32,2.09232,2.44961,2.04344,0.1838,0.13176,0.0859,0.02705,2.1908,2.74757,2.25886,0.0074755,0.0074755,0.0074755
53,5224.92,2.07728,2.46538,2.04848,0.18347,0.13277,0.08605,0.02711,2.19014,2.74667,2.25714,0.007426,0.007426,0.007426
54,5324.15,2.07321,2.44687,2.04318,0.17738,0.13751,0.08572,0.02702,2.18975,2.74723,2.25704,0.0073765,0.0073765,0.0073765
55,5422.64,2.09086,2.42582,2.03864,0.18171,0.13222,0.08597,0.02713,2.18889,2.74602,2.25614,0.007327,0.007327,0.007327
